OBJECTID,shortest_dist
1511,1626.47
1512,1670.14
1513,1652.03
1514,1635.65
1515,1655.74
1516,1668.07
1517,1658.5
1518,1616.57
1519,1670.85
1520,1504.06
1521,1597.61
1522,1513.5
1523,1658.89
1524,1645.47
1525,1611.85
1526,1670.26
1527,1652.81
1528,1038.11
1529,1656.67
1530,1669.54
1531,1621.9
1532,1657.69
1533,1672.49
1534,1613.72
1535,1612.45
1536,1628.6
1537,1717.06
1538,1646.51
1539,1636.31
1540,1659.91
1541,1064.34
1542,1647.53
1543,1649.77
1544,1739.6
1545,1642.11
1546,1639.16
1547,1654.03
1548,1317.21
1549,1733.76
1550,1097.89
1551,1624.27
1552,1657.19
1553,1665.45
1554,1662.03
1555,1625.96
1556,1611.55
1557,1664.69
1558,1659.65
1559,1748.6
1560,1613.3
1561,1643.53
1562,1646.89
1563,1666.45
1564,1753.21
1565,1640.21
1566,1651.27
1567,1657.41
1568,1322.04
1569,1595.11
1570,1733.51
1571,1654.98
1572,1619.59
1573,1640.52
1574,1658.22
1575,1646.3
1576,1636.1
1577,1664.8
1578,1659.5
1579,1634.37
1580,1634.85
1581,1649.49
1582,1341.84
1583,1530.98
1584,1538.17
1585,1618.7
1586,1720.94
1587,1744.8
1588,1622.93
1589,1501.71
1590,1660.2
1591,1759.52
1592,1670.78
1593,1642.84
1594,1637.15
1595,1762.2
1596,1641.28
1597,1741.19
1598,1745.56
1599,1556.3
1600,1669.82
1601,1649.7
1602,1652.24
1603,1515.44
1604,1245.38
1605,1640.09
1606,1657.68
1607,1543.2
1608,905.96
1609,1661.39
1610,1647.48
1611,1640.79
1612,1724.35
1613,1519.45
1614,1653.99
1615,1726.18
1616,1655.56
1617,1643.89
1618,1651.96
1619,1730.95
1620,1637.81
1621,1647.11
1622,1760.26
1623,1650.76
1624,1642.97
1625,1036.91
1626,1621.33
1627,880.58
1628,1631.8
1629,1515.97
1630,1642.37
1631,1755.4
1632,1620.81
1633,1615.1
1634,1640.84
1635,1637.0
1636,1653.39
1637,1559.23
1638,1650.93
1639,1612.15
1640,1636.56
1641,1633.47
1642,1687.5
1643,1758.61
1644,1757.52
1645,1047.71
1646,1037.27
1647,1620.59
1648,1758.85
1649,1532.14
1650,1063.25
1651,1603.97
1652,1741.12
1653,1643.24
1654,1657.51
1655,1522.32
1656,1637.8
1657,1611.93
1658,1634.98
1659,1708.57
1660,1582.49
1661,1646.68
1662,1635.65
1663,1003.82
1664,1007.06
1665,1017.54
1666,1012.62
1667,1013.88
1668,1005.1
1669,1037.3
1670,1649.6
1671,1619.37
1672,1623.49
1673,1044.14
1674,1635.75
1675,1646.68
1676,1519.09
1677,1519.13
1678,1629.33
1679,1613.32
1680,1755.76
1681,1762.38
1682,1613.26
1683,1512.41
1684,1529.66
1685,1579.98
1686,1755.88
1687,1741.36
1688,1506.78
1689,1750.42
1690,1762.25
1691,1062.57
1692,1624.13
1693,1706.01
1694,1652.72
1695,1649.02
1696,1760.75
1697,1618.17
1698,1618.11
1699,1645.84
1700,1617.32
1701,1762.59
1702,1751.44
1703,1752.68
1704,996.4
1705,996.03
1706,993.34
1707,1003.37
1708,982.32
1709,1006.35
1710,1013.44
1711,1032.79
1712,1043.35
1713,1038.48
1714,1038.83
1715,1045.55
1716,1032.96
1717,1752.93
1718,1757.92
1719,1575.71
1720,995.01
1721,998.39
1722,1008.61
1723,1011.88
1724,1000.16
1725,1026.06
1726,1032.45
1727,1030.25
1728,1030.08
1729,1044.01
1730,1723.84
1731,1677.8
1732,1717.31
1733,1657.27
1734,1586.58
1735,1663.91
1736,1728.78
1737,1606.07
1738,1510.44
1739,1643.71
1740,1744.16
1741,1657.74
1742,1329.53
1743,1603.29
1744,1289.83
1745,1655.39
1746,1745.88
1747,1616.51
1748,1764.72
1749,1629.98
1750,1629.04
1751,1601.35
1752,1642.28
1753,1604.74
1754,1685.08
1755,1297.22
1756,1664.62
1757,989.34
1758,1624.25
1759,1715.33
1760,1631.41
1761,1642.27
1762,1671.5
1763,1673.15
1764,1575.35
1765,1618.89
1766,1671.65
1767,1733.6
1768,1718.57
1769,1389.61
1770,1733.88
1771,1761.34
1772,1620.1
1773,1717.47
1774,1735.47
1775,1642.26
1776,1661.03
1777,1602.97
1778,1628.69
1779,1668.13
1780,1666.12
1781,1616.88
1782,1713.78
1783,1611.08
1784,1670.73
1785,1634.96
1786,1737.84
1787,1718.42
1788,1621.59
1789,1711.18
1790,1634.97
1791,1650.41
1792,1629.7
1793,1645.16
1794,1645.38
1795,1683.2
1796,1644.58
1797,1744.38
1798,1730.98
1799,1597.59
1800,1655.36
1801,1650.43
1802,1639.38
1803,1639.66
1804,1525.09
1805,1628.07
1806,1634.25
1807,1617.82
1808,1647.02
1809,1596.69
1810,1732.65
1811,1649.06
1812,1641.8
1813,1634.3
1814,1610.74
1815,1645.5
1816,1672.7
1817,1616.97
1818,1733.65
1819,1507.62
1820,1641.26
1821,1547.62
1822,1670.5
1823,1658.28
1824,1665.57
1825,1526.38
1826,1573.45
1827,1645.92
1828,1431.54
1829,1608.9
1830,1737.07
1831,1604.04
1832,1668.21
1833,1708.74
1834,1612.61
1835,1388.84
1836,1753.72
1837,1622.08
1838,1678.08
1839,1640.96
1840,1109.17
1841,1617.56
1842,1512.59
1843,1614.9
1844,1614.79
1845,1039.57
1846,1534.84
1847,1598.88
1848,1670.44
1849,1739.15
1850,1611.48
1851,1674.15
1852,1549.0
1853,1509.23
1854,1646.56
1855,1639.32
1856,1643.92
1857,1523.67
1858,1567.55
1859,1731.36
1860,1635.88
1861,1039.27
1862,1755.6
1863,1738.26
1864,1327.29
1865,1641.0
1866,1523.1
1867,1079.88
1868,1740.76
1869,1634.46
1870,1521.65
1871,1515.87
1872,1748.33
